NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
171;15;JAMBI;1502;150217;PEREKAMAN KTP;WAJIB KTP;JIWA;1;4857;2022
172;15;JAMBI;1502;150217;PEREKAMAN KTP;REKAM KTP;JIWA;1;4789;2022
173;15;JAMBI;1502;150217;PEREKAMAN KTP;BELUM REKAM;JIWA;1;68;2022
174;15;JAMBI;1502;150217;PEREKAMAN KTP;WAJIB KTP;JIWA;2;5012;2022
175;15;JAMBI;1502;150217;PEREKAMAN KTP;REKAM KTP;JIWA;2;4884;2022
176;15;JAMBI;1502;150218;PEREKAMAN KTP;WAJIB KTP;JIWA;1;6985;2022
177;15;JAMBI;1502;150218;PEREKAMAN KTP;REKAM KTP;JIWA;1;6897;2022
178;15;JAMBI;1502;150218;PEREKAMAN KTP;BELUM REKAM;JIWA;1;88;2022
179;15;JAMBI;1502;150218;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7332;2022
180;15;JAMBI;1502;150218;PEREKAMAN KTP;REKAM KTP;JIWA;2;7112;2022
181;15;JAMBI;1502;150219;PEREKAMAN KTP;WAJIB KTP;JIWA;1;10490;2022
182;15;JAMBI;1502;150219;PEREKAMAN KTP;REKAM KTP;JIWA;1;10387;2022
183;15;JAMBI;1502;150219;PEREKAMAN KTP;BELUM REKAM;JIWA;1;103;2022
184;15;JAMBI;1502;150219;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10758;2022
185;15;JAMBI;1502;150219;PEREKAMAN KTP;REKAM KTP;JIWA;2;10503;2022
186;15;JAMBI;1502;150220;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7525;2022
187;15;JAMBI;1502;150220;PEREKAMAN KTP;REKAM KTP;JIWA;1;7435;2022
188;15;JAMBI;1502;150220;PEREKAMAN KTP;BELUM REKAM;JIWA;1;90;2022
189;15;JAMBI;1502;150220;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7760;2022
190;15;JAMBI;1502;150220;PEREKAMAN KTP;REKAM KTP;JIWA;2;7572;2022
191;15;JAMBI;1502;150221;PEREKAMAN KTP;WAJIB KTP;JIWA;1;10120;2022
192;15;JAMBI;1502;150221;PEREKAMAN KTP;REKAM KTP;JIWA;1;10000;2022
193;15;JAMBI;1502;150221;PEREKAMAN KTP;BELUM REKAM;JIWA;1;120;2022
194;15;JAMBI;1502;150221;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10405;2022
195;15;JAMBI;1502;150221;PEREKAMAN KTP;REKAM KTP;JIWA;2;10174;2022
196;15;JAMBI;1502;150222;PEREKAMAN KTP;WAJIB KTP;JIWA;1;6009;2022
197;15;JAMBI;1502;150222;PEREKAMAN KTP;REKAM KTP;JIWA;1;5939;2022
198;15;JAMBI;1502;150222;PEREKAMAN KTP;BELUM REKAM;JIWA;1;70;2022
199;15;JAMBI;1502;150222;PEREKAMAN KTP;WAJIB KTP;JIWA;2;6180;2022
200;15;JAMBI;1502;150222;PEREKAMAN KTP;REKAM KTP;JIWA;2;6036;2022
201;15;JAMBI;1502;150223;PEREKAMAN KTP;WAJIB KTP;JIWA;1;6815;2022
202;15;JAMBI;1502;150223;PEREKAMAN KTP;REKAM KTP;JIWA;1;6707;2022
203;15;JAMBI;1502;150223;PEREKAMAN KTP;BELUM REKAM;JIWA;1;108;2022
204;15;JAMBI;1502;150223;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7019;2022
